ID Referencia Projeto;Logradouro;Bairro;Municipio;Latitude;Longitude;N°. Projeto;Family Case
1955830;Rua Tibúrcio de Sousa, 1399 - Itaim Paulista, São Paulo, 08140-000;Itaim Paulista;São Paulo;-23,50976547;-46,39478052;83937.04112024.26;136536
1955829;Rua Tibúrcio de Sousa, 1392 - Itaim Paulista, São Paulo, 08140-000;Itaim Paulista;São Paulo;-23,50981851;-46,39490839;83937.04112024.26;136536
1955899;Rua Alto Juruá, 811 - Vila Progresso (Zona Leste), São Paulo, 08140-310;Itaim Paulista;São Paulo;-23,509879;-46,39521261;83937.04112024.26;136536
1955897;Rua Alto Juruá, 737 - Vila Progresso (Zona Leste), São Paulo, 08140-310;Itaim Paulista;São Paulo;-23,50990981;-46,3955034;83937.04112024.26;136536
1955896;Rua Alto Juruá, 752 - Vila Progresso (Zona Leste), São Paulo, 08140-310;Itaim Paulista;São Paulo;-23,50999131;-46,39578179;83937.04112024.26;136536
1955894;Rua Alto Juruá, 120 - Vila Morgadouro, São Paulo, 08140-310;Itaim Paulista;São Paulo;-23,51003365;-46,39609562;83937.04112024.26;136536
2281232;Rua Hilário Pires, 362 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,53975284;-46,42321877;83738.24102024.26;151239
2281233;Rua Hilário Pires, 346 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,53992342;-46,42332835;83738.24102024.26;151239
2281234;Rua Hilário Pires, 304 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54019271;-46,42350756;83738.24102024.26;151239
2281235;Rua Hilário Pires, 279 - Jardim Bonifacio, São Paulo, 08420-010;itaquera;São Paulo;-23,540462;-46,42368678;83738.24102024.26;151239
2281237;Rua Hilário Pires, 210 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54091975;-46,42399536;83738.24102024.26;151239
2281238;Rua Hilário Pires, 178 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54110821;-46,42412473;83738.24102024.26;151239
2281239;Rua Hilário Pires, 150 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54138653;-46,42430404;83738.24102024.26;151239
2281240;Rua Hilário Pires, 115 - Jardim Bonifacio, São Paulo, 08420-010;itaquera;São Paulo;-23,54167379;-46,42449324;83738.24102024.26;151239
2281119;Rua Shiono Katayama, 161 - Jardim Helena, São Paulo, 08420-081;itaquera;São Paulo;-23,53808975;-46,4246047;83702.24102024.26;150812
2281241;Rua Hilário Pires, 74 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54196845;-46,42467264;83738.24102024.26;151239
2281118;Rua Manuel Calhamares, 6314 - Conjunto Residencial José Bonifácio, São Paulo, 08220-385;itaquera;São Paulo;-23,53788995;-46,42472733;83702.24102024.26;150812
2281117;Rua Manuel Calhamares, 68 - Jardim Helena, São Paulo, 08420-090;itaquera;São Paulo;-23,53774553;-46,42482735;83702.24102024.26;150812
2281242;Rua Hilário Pires, 38 - Jardim Helena, São Paulo, 08420-010;itaquera;São Paulo;-23,54226984;-46,4248667;83738.24102024.26;151239
2281243;Rua Hilário Pires, 29 - Jardim Bonifacio, São Paulo, 08420-010;itaquera;São Paulo;-23,54246941;-46,42499638;83738.24102024.26;151239
